live_id,live_name,cover_path,artist,level,author
CVSQMfwmdSxstDpB,blank space,fvq4SpSJaRaF.png,Taylor Swift,9,silverdemon
ggkbRsKL52X3BPth,くるりんMIRACLE,60kc3BttAdjG.png,星空凛（CV：飯田里穂）,9,Hakanai Yume
HZIRHMSRRWJODRQN,Tabula rasa ～ 空白少女(expert),e12c1be0202141f6620d5d1313ed53ba.jpg,ZUN,10,佐仓翠子
hmfwcuvyu6tkVV0v,Trajectory,bvcLUxgrnsZk.jpg,LEGOLEE,12,随便起个名呆嗨
26EkFOqj2KlBpTi1,Valanga(polysha Remix),Boe0Uktqkuep.jpg,DJ TOTTO remixed by polysha,13,菲特菲特酱
DSCAHFPv0voURb6Z,Cherishing the memory,edjAHzTlE8mf.jpg,ソルティリーナ (潘めぐみ)、ロニエ (近藤玲奈)、ティーゼ (石原夏織),11,施斯・彩璧
rNJXeTQj95rrcW29,Real Force,pOQx39XtQRqZ.jpg,ELISA,10,野生maki
4CDePdQsllTMqLVR,君が好き ～Three Feelings～,Fp6KmLQdMsPR.jpg,中野三玖 (CV: 伊藤美来),11,施斯・彩璧
b2PHJniWKO7NKQtQ,Tic Tac DREAMIN',RWR64NgSdLJ4.jpg,天王洲なずな (CV: 山本彩乃),10,施斯・彩璧
4MIAesm9Fu1eKFUr,ずるいよMagnetic today（搬运）,dbwe8HxTVTSb.jpg,KLabGames,10,Future
ZHBBO7zBIMqGOhOI,Life is PIANO,T5PTvmh05EZo.jpg,Junk,12,91999198
1bzdeMIvXRpkKJ1r,archive::zip,KxDL6SLIqkQb.png,沙野カモメ,13,91999198
yQKh6jmKeZJX9shJ,三年目の浮気,IATbbKbCpViX.jpg,ヒロシ&キーボー,9,sumon_露菲尔
BolyykcBYvm7b4kT,LOLV -Lots of Love-,qvERkLSIRPQQ.jpg,ツキウタ。,10,ryamarryn
avCLYVFspvjNLh91,Liquid (Paul Rosenthal Remix),kPqtBJDNF1HD.jpg,Rostik,10,wilty
q4vdkZuiNWyyTOTk,リトルアドベンチャー,ZfIfKJWZxlai.jpg,歌：ミソギ(CV:諸星すみれ)、キョウカ(CV:小倉唯)、ミミ(CV:日高里菜),10,沉默丶Man
W3T4CPUj0PU35E2o,SUPER NOVA【自制】,AV7CpxWh8Ydz.png,DiverDiva【朝香果林（cv:久保田未夢）；宮下愛（cv:村上奈津実）】,9,YingC
nZs8zEd7mfrpQlBk,Rootus,p0KrJEuYI02J.jpg,GWAVE Clubsound Project [TRakker],9,Rincho
RNrg1sJAhaechzGG,夏だぜジョニー,CRqOF9XOIJbT.jpg,私立恵比寿中学,10,みっくしゅ
nSfrGyp4K82Vybhu,¡Azucar!,ev6QRAdgIJgX.png,Rabpit,9,如月喵
MhFXAcw1D213nnp4,Chemical Star,K4aFjh7DaMrN.jpg,Tsukasa,9,wilty
